n   a         b         x         f(x)           
1   2         3         2.5       5.625          
2   2         2.5       2.25      1.89062        
3   2         2.25      2.125     0.345703       
4   2         2.125     2.0625    -0.351318      
5   2.0625    2.125     2.09375   -0.00894165    
6   2.09375   2.125     2.10938   0.166836       
7   2.09375   2.10938   2.10156   0.0785623      
8   2.09375   2.10156   2.09766   0.0347143      
9   2.09375   2.09766   2.0957    0.0128623      
10  2.09375   2.0957    2.09473   0.00195435     
11  2.09375   2.09473   2.09424   -0.00349515    
12  2.09424   2.09473   2.09448   -0.000770775   
